article_number,article_link,article_name,title_subjectivity,title_polarity,content_subjectivity,content_polarity,overall_score
1,https://www.prnewswire.com/news-releases/neurotrope-bioscience-announces-agreement-with-worldwide-clinical-trials-to-conduct-ongoing-phase-2-study-of-bryostatin-1-partially-funded-by-nih-for-alzheimers-disease-301103042.html,"Neurotrope Bioscience Announces Agreement with Worldwide Clinical Trials, to Conduct Ongoing Phase 2 Study of Bryostatin-1, Partially Funded by NIH, for Alzheimer's Disease
",0.3,-0.1,0.4536282994114319,0.05516115410693724,N/A
2,https://www.prnewswire.com/news-releases/neurotrope-announces-strategic-partnership-with-bryologyx-for-supply-of-synthetic-bryostatin-1-and-continuation-of-the-national-cancer-institute-nci-trial-for-childhood-leukemia-301073668.html,"Neurotrope Announces Strategic Partnership with BryoLogyx for Supply of Synthetic Bryostatin-1 and Continuation of the National Cancer Institute (NCI) Trial for Childhood Leukemia
",0.0,0.0,0.4973149558774558,0.11272604478854482,N/A
3,https://www.prnewswire.com/news-releases/neurotrope-launches-new-long-term-clinical-trial-of-bryostatin-with-the-national-institutes-of-health-for-the-treatment-of-patients-with-alzheimers-disease-301066973.html,"Neurotrope Launches New Long-Term Clinical Trial of Bryostatin with the National Institutes of Health for the Treatment of Patients with Alzheimer's Disease
",0.45454545454545453,0.13636363636363635,0.45684493610964194,0.0866539261392203,N/A
4,https://www.prnewswire.com/news-releases/neurotrope-announces-investor-update-conference-call-301065493.html,"Neurotrope Announces Investor Update Conference Call
",0.0,0.0,0.43576298701298705,0.06062770562770563,N/A
5,https://www.prnewswire.com/news-releases/neurotrope-and-metuchen-pharmaceuticals-announce-merger-agreement-to-form-petros-pharmaceuticals-a-mens-health-company-301060769.html,"Neurotrope and Metuchen Pharmaceuticals Announce Merger Agreement to Form Petros Pharmaceuticals, a Men's Health Company
",0.0,0.0,0.4438450693037849,0.08002502085070892,N/A
6,https://www.prnewswire.com/news-releases/neurotrope-and-metuchen-pharmaceuticals-announce-merger-agreement-to-form-petros-pharmaceuticals-a-mens-health-company-301060769.html,"Neurotrope and Metuchen Pharmaceuticals Announce Merger Agreement to Form Petros Pharmaceuticals, a Men's Health Company
",0.0,0.0,0.4438450693037849,0.08002502085070892,N/A
7,https://www.prnewswire.com/news-releases/neurotrope-inc-announces-18-million-registered-direct-offering-300991558.html,"Neurotrope, Inc. Announces $18 Million Registered Direct Offering
",0.4,0.1,0.5594665750915749,0.04491949023199021,N/A
8,https://www.prnewswire.com/news-releases/neurotrope-provides-corporate-update-after-completing-bryostatin-1-data-analysis-for-advanced-alzheimers-disease-trial-300991105.html,"Neurotrope Provides Corporate Update After Completing Bryostatin-1 Data Analysis for Advanced Alzheimer's Disease Trial
",0.3,0.2,0.5509864463493493,0.08165443427540202,N/A
9,https://www.prnewswire.com/news-releases/neurotrope-announces-review-of-strategic-alternatives-to-maximize-shareholder-value-300933635.html,"Neurotrope Announces Review of Strategic Alternatives to Maximize Shareholder Value
",0.0,0.0,0.5265189520624304,0.098865265169613,N/A
10,https://www.prnewswire.com/news-releases/neurotrope-announces-top-line-results-from-confirmatory-phase-2-study-of-bryostatin-1-in-moderate-to-severe-alzheimers-disease-300913655.html,"Neurotrope Announces Top-line Results From Confirmatory Phase 2 Study of Bryostatin-1 in Moderate to Severe Alzheimer's Disease
",0.7,0.0,0.49728157644824306,0.0907000407000407,N/A
